1	10626	223161
2	10648	218662
3	10649	212479
4	10660	210464
5	10690	208632
6	10692	205185
7	10702	204927
8	10715	203092
9	10718	201499
10	10741	197074
11	10786	195961
12	10790	195457
13	10831	195385
14	10835	194344
15	10867	194086
16	10880	193768
17	10888	193706
18	10895	192872
19	10899	192050
20	10910	190580
21	10950	190399
22	10953	190279
23	10957	190054
24	10959	189927
25	10960	189019
26	10972	188204
27	10992	188173
28	11000	187043
29	11009	185495
30	11040	184945
31	11104	183357
32	11112	183140
33	11117	181528
34	11180	181390
35	11183	180805
36	11192	180804
37	11213	180559
38	11223	179320
39	11235	179176
40	11271	178962
41	11274	178893
42	11284	177133
43	11325	176561
44	11359	176409
45	11366	176127
46	11381	176125
47	11389	175708
48	11392	175578
49	11393	174329
50	11424	173900
51	11450	173660
52	11453	173364
53	11458	172168
54	11463	171831
55	11509	171409
56	11511	170690
57	11548	170547
58	11569	169623
59	11581	169479
60	11610	168548
61	11639	168050
62	11642	167877
63	11656	167381
64	11659	166748
65	11678	166295
66	11710	165989
67	11729	165398
68	11749	165361
69	11757	165082
70	11772	164942
71	11781	164751
72	11790	164248
73	11799	163825
74	11809	163086
75	11827	162308
76	11857	160993
77	11912	160771
78	11937	160402
79	11964	160248
80	11982	159799
81	11993	159110
82	11996	157988
83	12065	157923
84	12079	157360
85	12086	157046
86	12100	156928
87	12117	156622
88	12126	156565
89	12129	156086
90	12131	155853
91	12133	155744
92	12153	154918
93	12168	154856
94	12183	153603
95	12207	152955
96	12216	152772
97	12281	152542
98	12287	152364
99	12306	151830
100	12328	151589
101	12337	151166
102	12343	151093
103	12359	151062
104	12368	150525
105	12402	150471
106	12405	150358
107	12431	150107
108	12434	149548
109	12439	149160
110	12475	148034
111	12495	147897
112	12550	147757
113	12558	147641
114	12568	147583
115	12580	147422
116	12583	147048
117	12585	146955
118	12599	146627
119	12610	146586
120	12611	146507
121	12613	146070
122	12645	145537
123	12659	144687
124	12721	144630
125	12722	144562
126	12727	144102
127	12743	143448
128	12774	143376
129	12805	142316
130	12807	141976
131	12865	141358
132	12897	141034
133	12912	140507
134	12967	140309
135	12980	140047
136	12986	139943
137	12990	139784
138	13012	139766
139	13014	139540
140	13023	139099
141	13028	138927
142	13031	138770
143	13082	138011
144	13116	137932
145	13122	137745
146	13143	137616
147	13145	137532
148	13168	137158
149	13169	137144
150	13173	137067
151	13196	136773
152	13222	136457
153	13241	136284
154	13264	135638
155	13273	134303
156	13371	133897
157	13390	133889
158	13392	132566
159	13462	132410
160	13479	131439
161	13536	131151
162	13587	130540
163	13594	130128
164	13644	129748
165	13664	129587
166	13695	129278
167	13701	129267
168	13737	129172
169	13754	128756
170	13757	128044
171	13808	127509
172	13843	126965
173	13884	126781
174	13901	126287
175	13968	125875
176	13978	125013
177	14035	124884
178	14056	124706
179	14066	124504
180	14076	123833
181	14081	123590
182	14132	122831
183	14152	122648
184	14176	122382
185	14225	122175
186	14284	121333
187	14287	121153
188	14333	120772
189	14346	119886
190	14471	119641
191	14474	119323
192	14507	118847
193	14508	118785
194	14550	118233
195	14551	117986
196	14597	117659
197	14642	117378
198	14663	117374
199	14686	116517
200	14732	116416
201	14742	116292
202	14779	116147
203	14783	115720
204	14821	115594
205	14840	115009
206	14862	114868
207	14907	114149
208	14948	113960
209	14964	113494
210	15032	112372
211	15136	112218
212	15162	111974
213	15171	111474
214	15255	111226
215	15259	111123
216	15280	111000
217	15305	110726
218	15321	110551
219	15333	110369
220	15350	109920
